"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"8SJJMPD9","manuscript","1989","McKelson, Kevin R.","Karajarri wordlist","","","","","","","1989","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0069","","","","","","","","tex.ids= mckelson1989j","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PI85XKW7","bookSection","1994","Amery, Rob; Simpson, Jane","Kaurna","Macquarie Aboriginal words: A dictionary of words from Australian Aboriginal and Torres Strait Islander languages","","","","","","1994","2023-02-12 15:18:09","2023-02-12 15:19:43","","144-172","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0539","","","","Macquarie Library","Sydney","","","","","","mura.aiatsis.gov.au Library Catalog","B T426.46/M1:REF 499.15 THI","Year: 1994 Local call number: B T426.46/M1:REF 499.15 THI Principal Author: Amery, Rob, 1954 Source: Macquarie Aboriginal words [Bundjalung/Ngiyampaa/ Paakantyi/The Sydney Language/Wiradjuri/Wembawemba/ Diyari/Kaurna/Nyungar/Gooniyandi/Yindjibarndi/ Datiwuy/Eastern Arrernte/Murrinh-Patha/Meryam Mir/ Wik-Mungkan/Torres Strait Creole] / general editors; Nick Thieberger, William McGregor - Macquarie University, N.S.W.; The Macquarie Library Pty Ltd, 1994; p. [144]-172 Imprint: 1994 Annotation: Kaurna contact history; revival of language from historical sources particularly Lutheran missionaries; spelling and pronunciation, wordlist in semantic domains including school education Topical: Religions - Christianity - Lutheran Church Topical: Settlement and contacts - Colonisation - 1851 Topical: Settlement and contacts Topical: Education - Language - Indigenous languages Topical: Language - Linguistics - Phonology - Pronunciation Topical: Language - Semantics Topical: Language - Vocabulary - Word lists Place: South East South Australia (SE SA SI54, SJ54) Language/Group: Kaurna language (L3) (SA SI54-09) Language/Group: Kaurna people (L3) (SA SI54-09)","","","","#nosource; fix_chirila_key","","Thieberger, Nick; McGregor, William","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SCSRCSW7","manuscript","1990","Teichelmann, C. G.; Schürmann, C. W.; Simpson, Jane","Kaurna vocabulary","","","","","","","1990","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0201","","","","","","","","","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R8CIHAPV","manuscript","1967","Teichelmann, C. G.; Schürmann, C. W.","Kaurna wordlist","","","","","","","1967","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0068","","","","","","","","","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3A8G99I2","manuscript","1990","Peile, Anthony Rex","Kukatja dictionary","","","","","","","1990","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0023","","","","","","","","","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A8YMCTMC","manuscript","1967","Sommer, Bruce A.","Kuuk Thaayorre wordlist","","","","","","","1967","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0101","","","","","","","","","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DGH8XG8B","bookSection","1981","McConvell, Patrick","Malngin wordlist","Sourcebook for central Australian languages","","","","","General information, bibliography and E-L 150-word list for; Adnyamathanha, Alawa, Alyawarra, Anmajirra, Antekerrepenh, Arabana, Aranda, Diyari, Gurindji, Jaru, Jingilu, Karawa, Kaytej, Kriol, Kukatja, Kutanji, Malngin, Mudbura, Ngaanyatjarra, Ngari, Ngarinman, Ngarnji, Nyininy, Pilinara, Pintupi, Pitjantjatjara, Pitta-pitta, Wakaya, Walmathari, Wampaya, Wangkanguru, Wanyi, Warlmanpa, Warlpiri, Warluwara, Warumungu, Yandruwandha, Yankunytjatjara, Yanyuwa; notes on Aboriginal English, Antikirinya, Mantjintja, Ngaatjatjara, Ngalea, Wailpi, Wangkamala","1981","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0128","","","","Institute for Aboriginal Development","Alice Springs, Australia","","","","","","mura.aiatsis.gov.au Library Catalog","0006","Year: 1981 Description: vii, 333] p Local call number: REF 499.15 MEN Local call number: B M547.30/S1 Accession no: 5858b Access: Not for Inter-Library Loan Annotation: General information, bibliography and E-L 150-word list for; Adnyamathanha, Alawa, Alyawarra, Anmajirra, Antekerrepenh, Arabana, Aranda, Diyari, Gurindji, Jaru, Jingilu, Karawa, Kaytej, Kriol, Kukatja, Kutanji, Malngin, Mudbura, Ngaanyatjarra, Ngari, Ngarinman, Ngarnji, Nyininy, Pilinara, Pintupi, Pitjantjatjara, Pitta-pitta, Wakaya, Walmathari, Wampaya, Wangkanguru, Wanyi, Warlmanpa, Warlpiri, Warluwara, Warumungu, Yandruwandha, Yankunytjatjara, Yanyuwa; notes on Aboriginal English, Antikirinya, Mantjintja, Ngaatjatjara, Ngalea, Wailpi, Wangkamala Acquisitions source: Copies 2 & 3 donated by National Library of Australia Topical: Language - English - Aboriginal English Topical: Language - Kriol Topical: Language - Change Topical: Language - Linguistics - Language classification Topical: Language - Vocabulary - Word lists Place: Northern Territory - North NT Place: South Central Northern Territory (NT) Place: Western Desert (WA SF51, SF52, SG51, SG52) Place: Western Australia - Central Australia (WA SE52, SF52, SG52) Place: South Australia - Central Australia (SA SG52, SG53) Place: South Australia - Far West (SA SH52, SI52) Place: South Australia - West (SA SH53, SI53) Place: Queensland Gulf country (Qld SE54) Place: Queensland Far North West (Qld Far NW SE54) Language/Group: Adnyamathanha language (L10) (SA SH54-09) Language/Group: Adnyamathanha people (L10) (SA SH54-09) Language/Group: Alawa language (N92) (NT SD53-10) Language/Group: Alawa people (N92) (NT SD53-10) Language/Group: Alyawarr / Alyawarre language (C14) (NT SF53-07) Language/Group: Alyawarr / Alyawarre people (C14) (NT SF53-07) Language/Group: Anmatyerre / Anmatyerr language (C8.1) (NT SF53-09) Language/Group: Anmatyerre / Anmatyerr people (C8.1) (NT SF53-09) Language/Group: Antekerrepenh / Antekerrepinhe / Andegerebenha language (C12) (NT SF53-12) Language/Group: Antekerrepenh / Antekerrepinhe / Andegerebenha people (C12) (NT SF53-12) Language/Group: Antakirinya / Antikirinya / Antakarinja language (C5) (SA SG53-14) Language/Group: Antakirinya / Antikirinya / Antakarinja people (C5) (SA SG53-14) Language/Group: Arabana / Arabunna language (L13) (SA SH53-03) Language/Group: Arabana / Arabunna people (L13) (SA SH53-03) Language/Group: Arrernte / Aranda language (C8) (NT SG53-02) Language/Group: Arrernte / Aranda people (C8) (NT SG53-02) Language/Group: Ayerrerenge / Yuruwinga language (G12) (NT SF54-05) Language/Group: Ayerrerenge / Yuruwinga people (G12) (NT SF54-05) Language/Group: Bilinara language (N36) (NT SD52-16) Language/Group: Bilinara people (N36) (NT SD52-16) Language/Group: Diyari / Dieri language (L17) (SA SH54-01) Language/Group: Diyari / Dieri people (L17) (SA SH54-01) Language/Group: Jaru / Djaru language (K12) (WA SE 52-10) Language/Group: Jaru / Djaru people (K12) (WA SE52-10) Language/Group: Jingulu / Djingili / Jingili language (C22) (NT SE53-06) Language/Group: Jingulu / Djingili / Jingili people (C22) (NT SE53-06) Language/Group: Garrwa / Garrawa / Garawa language (N155) (NT SE53-08) Language/Group: Garrwa / Garrawa / Garawa people (N155) (NT SE53-08) Language/Group: Gurindji language (C20) (NT SE52-08) Language/Group: Gurindji people (C20) (NT SE52-08) Language/Group: Kaytetye / Kaytej language (C13) (NT SF53-06) Language/Group: Kaytetye / Kaytej people (C13) (NT SF53-06) Language/Group: Kokatha language (C3) (SA SH53-06) Language/Group: Kokatha people (C3) (SA SH53-06) Language/Group: Kukatja language (A68) (WA SF52-02) Language/Group: Kukatja people (A68) (WA SF52-02) Language/Group: Gurdanji / Kurdanji / Gudanji language (C26) (NT SE53-07) Language/Group: Gurdanji / Kurdanji / Gudanji people (C26) (NT SE53-07) Language/Group: Luritja / Loritja language (C7.1) (NT SG52-04) Language/Group: Luritja / Loritja people (C7.1) (NT SG52-04) Language/Group: Malngin language (K30) (WA SE52-06) Language/Group: Malngin people (K30) (WA SE52-06) Language/Group: Mudburra language (C25) (NT SE53-05) Language/Group: Mudburra people (C25) (NT SE53-05) Language/Group: Ngaanyatjarra language (A38) (WA SG51-08) Language/Group: Ngaanyatjarra people (A38) (WA SG51-08) Language/Group: Ngaatjatjara language (A43) (WA SG50-12) Language/Group: Ngaatjatjara people (A43) (WA SG50-12) Language/Group: Ngalia / Ngalea language (C2) (SA SH52-07) Language/Group: Ngalia / Ngalea people (C2) (SA SH52-07) Language/Group: Ngarinman / Ngarinyman language (C27) (NT SE52-01) Language/Group: Ngarinman / Ngarinyman people (C27) (NT SE52-01) Language/Group: Ngarnji / Ngewin language (N121) (NT SD53-15) Language/Group: Ngarnji / Ngewin people (N121) (NT SD53-15) Language/Group: Nyininy language (K7) (WA SE 52-10) Language/Group: Nyininy people (K7) (WA SE52-10) Language/Group: Pintupi language (C10) (NT SF52-11) Language/Group: Pintupi people (C10) (NT SF52-11) Language/Group: Pitjantjatjara language (C6) (NT SG52-11) Language/Group: Pitjantjatjara people (C6) (NT SG52-11) Language/Group: Pitta Pitta / Bittha Bittha language (G6) (Qld SF54-10) Language/Group: Pitta Pitta / Bittha Bittha people (G6) (Qld SF54-10) Language/Group: Waanyi language (G23) (Qld SE54-09) Language/Group: Waanyi people (G23) (Qld SE54-09) Language/Group: Wakaya language (C16) (NT SE53-15) Language/Group: Wakaya people (C16) (NT SE53-15) Language/Group: Walmajarri / Walmatjarri language (A66) (WA SE51-16) Language/Group: Walmajarri / Walmatjarri people (A66) (WA SE51-16) Language/Group: Wampaya / Wambaya people (C19) (NT SE53-11) Language/Group: Wanggamala language (C9) (Qld SG54-05) Language/Group: Wanggamala people (C9) (Qld SG54-05) Language/Group: Wangkangurru / Wangganguru language (L27) (SA SG53-12) Language/Group: Wangkangurru / Wangganguru people (L27) (SA SG53-12) Language/Group: Warlmanpa language (C17) (NT SE53-10) Language/Group: Warlmanpa people (C17) (NT SE53-10) Language/Group: Warlpiri language (C15) (NT SF52-04) Language/Group: Warlpiri people (C15) (NT SF52-04) Language/Group: Warluwarra language (G10) (Qld SF54-05) Language/Group: Warluwarra people (G10) (Qld SF54-05) Language/Group: Warumungu language (C18) (NT SE53-01) Language/Group: Warumungu people (C18) (NT SE53-10) Language/Group: Yandruwantha / Yandruwandha language (L18) (SA SH54-02) Language/Group: Yandruwantha / Yandruwandha people (L18) (SA SH54-02) Language/Group: Yankunytjatjara language (C4) (NT SG52-16) Language/Group: Yankunytjatjara people (C4) (NT SG52-16) Language/Group: Yanyuwa / Yanuwa language (N153) (NT SE53-04) Language/Group: Yanyuwa / Yanuwa people (N153) (NT SE53-04)","","","","Garrwa; Wanyi; Warumungu; Wakaya; Warluwarra; Yanyuwa; #nosource; fix_chirila_key","","Menning, Kathy; Nash, David","","","","","","","","","","","","","","","","","","","Pilot","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q28WUMXV","manuscript","1988","McKelson, Kevin R.","Mangala wordlist","","","","","","","1988","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0220","","","","","","","","","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BWMMGUT7","manuscript","1992","Marsh, Jim","Martu Wangka dictionary","","","","","","","1992","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0210","","","","","","","","","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"359H6URP","manuscript","1994","Hosokawa, Komei","Meanings in Yawuru: A semantically oriented description of an indigenous language of Kimberley, Western Australia","","","","","","","1994","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0753. Revised version of the author's 1991 ANU PhD dissertation","","","","","","","","tex.ids= hosokawa1994c","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WB9AYJVY","manuscript","1991","Breen, Gavan","Mudburra graded wordlist","","","","","","","1991","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0269","","","","","","","","tex.ids= breen1991c","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SK2CWC38","manuscript","","Green, Rebecca","Mudburra vocabulary","","","","","","","n.d.","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0699","","","","","","","","","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RNCBILXW","manuscript","1984","McConvell, Patrick; Nash, David","Mudburra wordlist","","","","","","","1984","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0031","","","","","","","","","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CV4CHR3Y","manuscript","","Oates, Lynette","Muruwari dictionary","","","","","","","n.d.","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0474","","","","","","","","","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SUW2VMYG","manuscript","1988","Glass, Amee","Ngaanyatjarra wordlist","","","","","","","1988","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0033","","","","","","","","","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6FSL9SB4","book","2004","Glass, Amee; Hackett, Dorothy","Ngaanyatjarra-Ngaatjatjarra to English dictionary","","","","","I:\Library\Digital Docs\ASEDA\0781_access.zip","","2004","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","","","","","","","English","","","","","","","","","","","language documentation; Western Desert Language; Australian Languages; dictionary; lexicography; Ngaanyatjarra; Ngaatjatjarra; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LHWVHF3Y","manuscript","2005","Jones, Caroline","Ngarinyman vocabulary","","","","","","","2005","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0796","","","","","","","","","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BN5CFBH4","manuscript","1967","O'Grady, Geoffrey N.","Northern Mangarla wordlist","","","","","","","1967","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0192","","","","","","","","tex.ids= ogrady1967i","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LY3RZVIW","manuscript","","Strelley School; Pilbara Aboriginal Language Centre","Nyangumarta wordlist","","","","","","","n.d.","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0278","","","","","","","","","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"86BPG7PH","manuscript","1992","Stokes, Bronwyn; Johnston, Gladys; Marshall, Lucy","Nyikina-English: A first lexicon","","","","","","","1992","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0472","","","","","","","","tex.ids= stokes1992c","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BSMUQ224","manuscript","1967","Schürmann, C. W.","Pankarla","","","","","","","1967","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0077","","","","","","","","","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W88XIZHG","manuscript","1979","Nash, David; Hale, Kenneth","Preliminary vocabulary of Warlmanpa","","","","","","","1979","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0049","","","","","","","","","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YT9VRTNM","manuscript","1989","McKelson, Kevin R.","Topical vocabulary of Northern Nyangumarta","","","","","","","1989","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0017","","","","","","","","tex.ids= mckelson1989k","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JMYQ243B","journalArticle","1920","Black, J. M.","Vocabularies of four South Australian languages, Adelaide, Narrunga, Kukata, and Narrinyeri with special reference to their speech sounds","Transactions of the Royal Society of South Australia","","","","","","1920","2023-02-12 15:18:09","2023-02-12 15:19:43","","76-93","","","44","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0257","","","","","","","","","","","Google Scholar","0017","","","","","#nosource; fix_chirila_key","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WXHUK9M8","manuscript","1985","Breen, Gavan","Wakaya","","","","","","","1985","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0047","","","","","","","","","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YVLA4FS5","bookSection","1981","Breen, Gavan","Wakaya (West) wordlist","Sourcebook for central Australian languages","","","","","General information, bibliography and E-L 150-word list for; Adnyamathanha, Alawa, Alyawarra, Anmajirra, Antekerrepenh, Arabana, Aranda, Diyari, Gurindji, Jaru, Jingilu, Karawa, Kaytej, Kriol, Kukatja, Kutanji, Malngin, Mudbura, Ngaanyatjarra, Ngari, Ngarinman, Ngarnji, Nyininy, Pilinara, Pintupi, Pitjantjatjara, Pitta-pitta, Wakaya, Walmathari, Wampaya, Wangkanguru, Wanyi, Warlmanpa, Warlpiri, Warluwara, Warumungu, Yandruwandha, Yankunytjatjara, Yanyuwa; notes on Aboriginal English, Antikirinya, Mantjintja, Ngaatjatjara, Ngalea, Wailpi, Wangkamala","1981","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0140","","","","Institute for Aboriginal Development","Alice Springs, Australia","","","","","","mura.aiatsis.gov.au Library Catalog","0006","Year: 1981 Description: vii, 333] p Local call number: REF 499.15 MEN Local call number: B M547.30/S1 Accession no: 5858b Access: Not for Inter-Library Loan Annotation: General information, bibliography and E-L 150-word list for; Adnyamathanha, Alawa, Alyawarra, Anmajirra, Antekerrepenh, Arabana, Aranda, Diyari, Gurindji, Jaru, Jingilu, Karawa, Kaytej, Kriol, Kukatja, Kutanji, Malngin, Mudbura, Ngaanyatjarra, Ngari, Ngarinman, Ngarnji, Nyininy, Pilinara, Pintupi, Pitjantjatjara, Pitta-pitta, Wakaya, Walmathari, Wampaya, Wangkanguru, Wanyi, Warlmanpa, Warlpiri, Warluwara, Warumungu, Yandruwandha, Yankunytjatjara, Yanyuwa; notes on Aboriginal English, Antikirinya, Mantjintja, Ngaatjatjara, Ngalea, Wailpi, Wangkamala Acquisitions source: Copies 2 & 3 donated by National Library of Australia Topical: Language - English - Aboriginal English Topical: Language - Kriol Topical: Language - Change Topical: Language - Linguistics - Language classification Topical: Language - Vocabulary - Word lists Place: Northern Territory - North NT Place: South Central Northern Territory (NT) Place: Western Desert (WA SF51, SF52, SG51, SG52) Place: Western Australia - Central Australia (WA SE52, SF52, SG52) Place: South Australia - Central Australia (SA SG52, SG53) Place: South Australia - Far West (SA SH52, SI52) Place: South Australia - West (SA SH53, SI53) Place: Queensland Gulf country (Qld SE54) Place: Queensland Far North West (Qld Far NW SE54) Language/Group: Adnyamathanha language (L10) (SA SH54-09) Language/Group: Adnyamathanha people (L10) (SA SH54-09) Language/Group: Alawa language (N92) (NT SD53-10) Language/Group: Alawa people (N92) (NT SD53-10) Language/Group: Alyawarr / Alyawarre language (C14) (NT SF53-07) Language/Group: Alyawarr / Alyawarre people (C14) (NT SF53-07) Language/Group: Anmatyerre / Anmatyerr language (C8.1) (NT SF53-09) Language/Group: Anmatyerre / Anmatyerr people (C8.1) (NT SF53-09) Language/Group: Antekerrepenh / Antekerrepinhe / Andegerebenha language (C12) (NT SF53-12) Language/Group: Antekerrepenh / Antekerrepinhe / Andegerebenha people (C12) (NT SF53-12) Language/Group: Antakirinya / Antikirinya / Antakarinja language (C5) (SA SG53-14) Language/Group: Antakirinya / Antikirinya / Antakarinja people (C5) (SA SG53-14) Language/Group: Arabana / Arabunna language (L13) (SA SH53-03) Language/Group: Arabana / Arabunna people (L13) (SA SH53-03) Language/Group: Arrernte / Aranda language (C8) (NT SG53-02) Language/Group: Arrernte / Aranda people (C8) (NT SG53-02) Language/Group: Ayerrerenge / Yuruwinga language (G12) (NT SF54-05) Language/Group: Ayerrerenge / Yuruwinga people (G12) (NT SF54-05) Language/Group: Bilinara language (N36) (NT SD52-16) Language/Group: Bilinara people (N36) (NT SD52-16) Language/Group: Diyari / Dieri language (L17) (SA SH54-01) Language/Group: Diyari / Dieri people (L17) (SA SH54-01) Language/Group: Jaru / Djaru language (K12) (WA SE 52-10) Language/Group: Jaru / Djaru people (K12) (WA SE52-10) Language/Group: Jingulu / Djingili / Jingili language (C22) (NT SE53-06) Language/Group: Jingulu / Djingili / Jingili people (C22) (NT SE53-06) Language/Group: Garrwa / Garrawa / Garawa language (N155) (NT SE53-08) Language/Group: Garrwa / Garrawa / Garawa people (N155) (NT SE53-08) Language/Group: Gurindji language (C20) (NT SE52-08) Language/Group: Gurindji people (C20) (NT SE52-08) Language/Group: Kaytetye / Kaytej language (C13) (NT SF53-06) Language/Group: Kaytetye / Kaytej people (C13) (NT SF53-06) Language/Group: Kokatha language (C3) (SA SH53-06) Language/Group: Kokatha people (C3) (SA SH53-06) Language/Group: Kukatja language (A68) (WA SF52-02) Language/Group: Kukatja people (A68) (WA SF52-02) Language/Group: Gurdanji / Kurdanji / Gudanji language (C26) (NT SE53-07) Language/Group: Gurdanji / Kurdanji / Gudanji people (C26) (NT SE53-07) Language/Group: Luritja / Loritja language (C7.1) (NT SG52-04) Language/Group: Luritja / Loritja people (C7.1) (NT SG52-04) Language/Group: Malngin language (K30) (WA SE52-06) Language/Group: Malngin people (K30) (WA SE52-06) Language/Group: Mudburra language (C25) (NT SE53-05) Language/Group: Mudburra people (C25) (NT SE53-05) Language/Group: Ngaanyatjarra language (A38) (WA SG51-08) Language/Group: Ngaanyatjarra people (A38) (WA SG51-08) Language/Group: Ngaatjatjara language (A43) (WA SG50-12) Language/Group: Ngaatjatjara people (A43) (WA SG50-12) Language/Group: Ngalia / Ngalea language (C2) (SA SH52-07) Language/Group: Ngalia / Ngalea people (C2) (SA SH52-07) Language/Group: Ngarinman / Ngarinyman language (C27) (NT SE52-01) Language/Group: Ngarinman / Ngarinyman people (C27) (NT SE52-01) Language/Group: Ngarnji / Ngewin language (N121) (NT SD53-15) Language/Group: Ngarnji / Ngewin people (N121) (NT SD53-15) Language/Group: Nyininy language (K7) (WA SE 52-10) Language/Group: Nyininy people (K7) (WA SE52-10) Language/Group: Pintupi language (C10) (NT SF52-11) Language/Group: Pintupi people (C10) (NT SF52-11) Language/Group: Pitjantjatjara language (C6) (NT SG52-11) Language/Group: Pitjantjatjara people (C6) (NT SG52-11) Language/Group: Pitta Pitta / Bittha Bittha language (G6) (Qld SF54-10) Language/Group: Pitta Pitta / Bittha Bittha people (G6) (Qld SF54-10) Language/Group: Waanyi language (G23) (Qld SE54-09) Language/Group: Waanyi people (G23) (Qld SE54-09) Language/Group: Wakaya language (C16) (NT SE53-15) Language/Group: Wakaya people (C16) (NT SE53-15) Language/Group: Walmajarri / Walmatjarri language (A66) (WA SE51-16) Language/Group: Walmajarri / Walmatjarri people (A66) (WA SE51-16) Language/Group: Wampaya / Wambaya people (C19) (NT SE53-11) Language/Group: Wanggamala language (C9) (Qld SG54-05) Language/Group: Wanggamala people (C9) (Qld SG54-05) Language/Group: Wangkangurru / Wangganguru language (L27) (SA SG53-12) Language/Group: Wangkangurru / Wangganguru people (L27) (SA SG53-12) Language/Group: Warlmanpa language (C17) (NT SE53-10) Language/Group: Warlmanpa people (C17) (NT SE53-10) Language/Group: Warlpiri language (C15) (NT SF52-04) Language/Group: Warlpiri people (C15) (NT SF52-04) Language/Group: Warluwarra language (G10) (Qld SF54-05) Language/Group: Warluwarra people (G10) (Qld SF54-05) Language/Group: Warumungu language (C18) (NT SE53-01) Language/Group: Warumungu people (C18) (NT SE53-10) Language/Group: Yandruwantha / Yandruwandha language (L18) (SA SH54-02) Language/Group: Yandruwantha / Yandruwandha people (L18) (SA SH54-02) Language/Group: Yankunytjatjara language (C4) (NT SG52-16) Language/Group: Yankunytjatjara people (C4) (NT SG52-16) Language/Group: Yanyuwa / Yanuwa language (N153) (NT SE53-04) Language/Group: Yanyuwa / Yanuwa people (N153) (NT SE53-04)","","","","Garrwa; Wanyi; Warumungu; Wakaya; Warluwarra; Yanyuwa; #nosource; fix_chirila_key","","Menning, Kathy; Nash, David","","","","","","","","","","","","","","","","","","","Pilot","","","","","","","","","","","","","","","","","","","","","","","","","",""
